control,control_window_gain,feature_mode,fold,real_window_gain,representation,target,threshold,window_name,window_seconds,window_specific_gain
random,0.0034038229475142345,cortical_pca_64,grouped_0,0.00718986917867015,mean_last,arousal__future_spike_1_3s,0.05,causal_past_5s,5.0,0.003786046231155915
timestamp,-0.11876515998978011,cortical_pca_64,grouped_0,0.00718986917867015,mean_last,arousal__future_spike_1_3s,0.05,causal_past_5s,5.0,0.12595502916845025
video_time,-0.05391226047014311,cortical_pca_64,grouped_0,0.00718986917867015,mean_last,arousal__future_spike_1_3s,0.05,causal_past_5s,5.0,0.06110212964881326
ar,0.009324850319492262,cortical_pca_64,grouped_0,0.01448534490539477,mean_slope,arousal__future_spike_1_3s,0.05,causal_past_5s,5.0,0.005160494585902509
shuffled,0.005198867921045791,cortical_pca_64,grouped_0,0.01448534490539477,mean_slope,arousal__future_spike_1_3s,0.05,causal_past_5s,5.0,0.00928647698434898
random,0.010125717492554254,cortical_pca_64,grouped_0,0.01448534490539477,mean_slope,arousal__future_spike_1_3s,0.05,causal_past_5s,5.0,0.004359627412840517
timestamp,-0.11876515998978011,cortical_pca_64,grouped_0,0.01448534490539477,mean_slope,arousal__future_spike_1_3s,0.05,causal_past_5s,5.0,0.13325050489517487
video_time,-0.05391226047014311,cortical_pca_64,grouped_0,0.01448534490539477,mean_slope,arousal__future_spike_1_3s,0.05,causal_past_5s,5.0,0.06839760537553788
ar,0.009324850319492262,cortical_pca_64,grouped_0,0.00861729666622485,last_slope,arousal__future_spike_1_3s,0.05,causal_past_5s,5.0,-0.000707553653267412
shuffled,0.0014809378354869729,cortical_pca_64,grouped_0,0.00861729666622485,last_slope,arousal__future_spike_1_3s,0.05,causal_past_5s,5.0,0.007136358830737877
random,0.0020245398585358454,cortical_pca_64,grouped_0,0.00861729666622485,last_slope,arousal__future_spike_1_3s,0.05,causal_past_5s,5.0,0.006592756807689004
