accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,feature_mode,mask,model,n_neg_mean,n_pos,negative_ratio,pr_auc_mean,pr_auc_std,precision_mean,precision_std,recall_mean,recall_std,seed_count,split,target,task_type,threshold
0.3363412228796844,0.0011967121399912878,0.4996671597633136,0.0008975341049934646,0.4985286689152574,0.00045098185350316776,cortical_fast_default,balanced_event_vs_stable,ar,1352.0,676.0,1:2,0.36436599824316035,0.004316329916041303,0.33318441052924247,0.00040293784326300366,0.9896449704142011,1.1102230246251565e-16,20,blocked,arousal__future_spike_1_3s,classification,0.05
0.3388806706114399,0.0015426518945720578,0.4986131656804734,0.0011569889209290508,0.49647988984018526,0.0005838819937384441,cortical_fast_default,balanced_event_vs_stable,real,1352.0,676.0,1:2,0.37017256749900024,0.0033836207323624692,0.33270499114062013,0.0005245812477485506,0.9778106508875739,1.1102230246251565e-16,20,blocked,arousal__future_spike_1_3s,classification,0.05
0.3409270216962525,0.0017942214397100827,0.5023668639053256,0.0013456660797825633,0.4995141442418958,0.0006798111795197605,cortical_fast_default,balanced_event_vs_stable,shuffled,1352.0,676.0,1:2,0.3642791975074862,0.004263958627440046,0.3344039989795486,0.0006091137009549515,0.9866863905325444,0.0,20,blocked,arousal__future_spike_1_3s,classification,0.05
0.34048323471400394,0.0019569166501956976,0.5005547337278107,0.00146768748764678,0.4978422914135927,0.000741612724788366,cortical_fast_default,balanced_event_vs_stable,random,1352.0,676.0,1:2,0.36621900194281476,0.004272433406733282,0.3335862353099494,0.0006658940842258959,0.9807692307692306,1.1102230246251565e-16,20,blocked,arousal__future_spike_1_3s,classification,0.05
0.6666666666666665,1.1102230246251565e-16,0.5,0.0,,,cortical_fast_default,balanced_event_vs_stable,majority,1352.0,676.0,1:2,,,,,0.0,0.0,20,blocked,arousal__future_spike_1_3s,classification,0.05
0.2544933431952663,0.0004418566251977987,0.4995438856015779,0.0002945710834652013,0.39894454723777756,0.00014207920885583357,cortical_fast_default,balanced_event_vs_stable,ar,2028.0,676.0,1:3,0.2784910224915804,0.0017061344376890079,0.2498273365306602,0.00011142521637230928,0.9896449704142011,1.1102230246251565e-16,20,blocked,arousal__future_spike_1_3s,classification,0.05
0.2589127218934911,0.0005951729637363626,0.4985453648915188,0.000396781975824237,0.3974864877053336,0.00019228861646164767,cortical_fast_default,balanced_event_vs_stable,real,2028.0,676.0,1:3,0.2849924679854536,0.0015183500875167583,0.2494434671979036,0.00015144509493148533,0.9778106508875739,1.1102230246251565e-16,20,blocked,arousal__future_spike_1_3s,classification,0.05
0.26007766272189353,0.0006174485154239633,0.5022805719921105,0.00041163234361597865,0.4000300874560245,0.00020013651306350597,cortical_fast_default,balanced_event_vs_stable,shuffled,2028.0,676.0,1:3,0.2783914208422319,0.001680337279262224,0.250869868465436,0.00015739436081607278,0.9866863905325444,0.0,20,blocked,arousal__future_spike_1_3s,classification,0.05
0.26052144970414204,0.0006766336709886072,0.5006040433925049,0.0004510891139924079,0.39873115764952416,0.00021934722111374567,cortical_fast_default,balanced_event_vs_stable,random,2028.0,676.0,1:3,0.28012519448816947,0.001732111475539092,0.2502312906367892,0.0001727721080000543,0.9807692307692306,1.1102230246251565e-16,20,blocked,arousal__future_spike_1_3s,classification,0.05
0.75,0.0,0.5,0.0,,,cortical_fast_default,balanced_event_vs_stable,majority,2028.0,676.0,1:3,,,,,0.0,0.0,20,blocked,arousal__future_spike_1_3s,classification,0.05
