target_name,validation_protocol,pca_width,model_lane,mean_pr_auc
arousal_abs_delta_p4rows_train_q90,grouped_video,256,AR_plus_timestamp_video_time_control,0.11375010249051534
arousal_abs_delta_p4rows_train_q90,grouped_video,256,PCA_only,0.12313823914842811
arousal_abs_delta_p4rows_train_q90,grouped_video,256,PCA_plus_temporal_diagnostics,0.12361626615848102
arousal_abs_delta_p4rows_train_q90,grouped_video,256,quality_motion_luma_only_control,0.10670929017483921
arousal_abs_delta_p4rows_train_q90,grouped_video,256,random_matched_PCA_control,0.10300219225467137
arousal_abs_delta_p4rows_train_q90,grouped_video,256,residualized_AR_plus_PCA,0.12381582696777901
arousal_abs_delta_p4rows_train_q90,grouped_video,256,residualized_AR_plus_PCA_plus_temporal_diagnostics,0.12465138449273547
arousal_abs_delta_p4rows_train_q90,grouped_video,256,shuffled_PCA_control,0.10209732103148625
arousal_abs_delta_p4rows_train_q90,grouped_video,256,shuffled_temporal_diagnostics_control,0.10141823701667665
arousal_abs_delta_p4rows_train_q90,grouped_video,256,timestamp_video_time_only_control,0.11293509196850886
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,64,AR_only,0.26193773027780903
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,64,AR_plus_PCA,0.25879449535893845
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,64,AR_plus_PCA_plus_temporal_diagnostics,0.2386112761339361
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,64,AR_plus_quality_motion_luma_control,0.24884582991796253
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,64,AR_plus_random_matched_PCA_control,0.25955891349860843
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,64,AR_plus_shuffled_PCA_control,0.26046896027000677
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,64,AR_plus_timestamp_video_time_control,0.2556829978095883
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,64,PCA_only,0.11969917850062732
