target_name,validation_protocol,feature_family,model_lane,mean_pr_auc
arousal_delta_p2rows_train_q90,grouped_video,current,AR_plus_PCA,0.20360464109632875
arousal_delta_p2rows_train_q90,grouped_video,current,AR_plus_PCA_plus_temporal_diagnostics,0.2030110694524659
arousal_delta_p2rows_train_q90,grouped_video,current,AR_plus_quality_motion_luma_control,0.2064898881238031
arousal_delta_p2rows_train_q90,grouped_video,current,AR_plus_random_matched_PCA_control,0.2064643253890032
arousal_delta_p2rows_train_q90,grouped_video,current,AR_plus_shuffled_PCA_control,0.20668779008967278
arousal_delta_p2rows_train_q90,grouped_video,current,AR_plus_timestamp_video_time_control,0.2103063201160383
arousal_delta_p2rows_train_q90,grouped_video,current,PCA_only,0.12462794237857278
arousal_delta_p2rows_train_q90,grouped_video,current,PCA_plus_temporal_diagnostics,0.12972674926752048
arousal_delta_p2rows_train_q90,grouped_video,current,quality_motion_luma_only_control,0.10362370382450778
arousal_delta_p2rows_train_q90,grouped_video,current,random_matched_PCA_control,0.10011784202440657
arousal_delta_p2rows_train_q90,grouped_video,current,residualized_AR_plus_PCA,0.20574012280462575
arousal_delta_p2rows_train_q90,grouped_video,current,residualized_AR_plus_PCA_plus_temporal_diagnostics,0.20483215103086833
arousal_delta_p2rows_train_q90,grouped_video,current,shuffled_PCA_control,0.10141792805028874
arousal_delta_p2rows_train_q90,grouped_video,current,shuffled_temporal_diagnostics_control,0.09904337994481545
arousal_delta_p2rows_train_q90,grouped_video,current,timestamp_video_time_only_control,0.10385496715389882
arousal_delta_p2rows_train_q90,grouped_video,delta,AR_only,0.20841173733029833
arousal_delta_p2rows_train_q90,grouped_video,delta,AR_plus_PCA,0.2076561392149638
arousal_delta_p2rows_train_q90,grouped_video,delta,AR_plus_PCA_plus_temporal_diagnostics,0.2048208183519157
arousal_delta_p2rows_train_q90,grouped_video,delta,AR_plus_quality_motion_luma_control,0.2064898881238031
arousal_delta_p2rows_train_q90,grouped_video,delta,AR_plus_random_matched_PCA_control,0.2061654864178588
arousal_delta_p2rows_train_q90,grouped_video,delta,AR_plus_shuffled_PCA_control,0.20653329751431998
arousal_delta_p2rows_train_q90,grouped_video,delta,AR_plus_timestamp_video_time_control,0.2103063201160383
arousal_delta_p2rows_train_q90,grouped_video,delta,PCA_only,0.11687195621090476
arousal_delta_p2rows_train_q90,grouped_video,delta,PCA_plus_temporal_diagnostics,0.11781092016753705
arousal_delta_p2rows_train_q90,grouped_video,delta,quality_motion_luma_only_control,0.10362370382450778
arousal_delta_p2rows_train_q90,grouped_video,delta,random_matched_PCA_control,0.09997000498130591
arousal_delta_p2rows_train_q90,grouped_video,delta,residualized_AR_plus_PCA,0.20749845422968458
arousal_delta_p2rows_train_q90,grouped_video,delta,residualized_AR_plus_PCA_plus_temporal_diagnostics,0.20464553713937478
arousal_delta_p2rows_train_q90,grouped_video,delta,shuffled_PCA_control,0.10099541614836076
arousal_delta_p2rows_train_q90,grouped_video,delta,shuffled_temporal_diagnostics_control,0.09904337994481545
arousal_delta_p2rows_train_q90,grouped_video,delta,timestamp_video_time_only_control,0.10385496715389882
arousal_delta_p2rows_train_q90,grouped_video,pca_then_temporal,AR_only,0.20841173733029833
arousal_delta_p2rows_train_q90,grouped_video,pca_then_temporal,AR_plus_PCA,0.20710927739478469
arousal_delta_p2rows_train_q90,grouped_video,pca_then_temporal,AR_plus_PCA_plus_temporal_diagnostics,0.20440109213474159
arousal_delta_p2rows_train_q90,grouped_video,pca_then_temporal,AR_plus_quality_motion_luma_control,0.2064898881238031
arousal_delta_p2rows_train_q90,grouped_video,pca_then_temporal,AR_plus_random_matched_PCA_control,0.20684999873214296
arousal_delta_p2rows_train_q90,grouped_video,pca_then_temporal,AR_plus_shuffled_PCA_control,0.2071154791142177
arousal_delta_p2rows_train_q90,grouped_video,pca_then_temporal,AR_plus_timestamp_video_time_control,0.2103063201160383
arousal_delta_p2rows_train_q90,grouped_video,pca_then_temporal,PCA_only,0.12861299297300735
arousal_delta_p2rows_train_q90,grouped_video,pca_then_temporal,PCA_plus_temporal_diagnostics,0.1307337677458737
arousal_delta_p2rows_train_q90,grouped_video,pca_then_temporal,quality_motion_luma_only_control,0.10362370382450778
arousal_delta_p2rows_train_q90,grouped_video,pca_then_temporal,random_matched_PCA_control,0.10131198518877249
arousal_delta_p2rows_train_q90,grouped_video,pca_then_temporal,residualized_AR_plus_PCA,0.20742563427853472
arousal_delta_p2rows_train_q90,grouped_video,pca_then_temporal,residualized_AR_plus_PCA_plus_temporal_diagnostics,0.20483215103086833
arousal_delta_p2rows_train_q90,grouped_video,pca_then_temporal,shuffled_PCA_control,0.10145918662245335
arousal_delta_p2rows_train_q90,grouped_video,pca_then_temporal,shuffled_temporal_diagnostics_control,0.09904337994481545
arousal_delta_p2rows_train_q90,grouped_video,pca_then_temporal,timestamp_video_time_only_control,0.10385496715389882
arousal_delta_p2rows_train_q90,grouped_video,temporal_then_pca,AR_only,0.20841173733029833
arousal_delta_p2rows_train_q90,grouped_video,temporal_then_pca,AR_plus_PCA,0.20209960658148915
arousal_delta_p2rows_train_q90,grouped_video,temporal_then_pca,AR_plus_PCA_plus_temporal_diagnostics,0.2022506874790378
