control,control_gain,feature_mode,fold,offset_seconds,offset_specific_gain,real_gain,target,threshold
timestamp,0.0001432370840721564,cortical_pca_64,grouped_0,4.0,-0.022679513114150063,-0.022536276030077906,arousal__future_spike_1_3s,0.075
video_time,-0.025996166786240754,cortical_pca_64,grouped_0,4.0,0.003459890756162848,-0.022536276030077906,arousal__future_spike_1_3s,0.075
ar,-0.01384432302336508,cortical_pca_64,grouped_0,6.0,-0.037368664278914165,-0.051212987302279245,arousal__future_spike_1_3s,0.075
shuffled,-0.010934439780056537,cortical_pca_64,grouped_0,6.0,-0.04027854752222271,-0.051212987302279245,arousal__future_spike_1_3s,0.075
random,-0.011393025061602668,cortical_pca_64,grouped_0,6.0,-0.039819962240676576,-0.051212987302279245,arousal__future_spike_1_3s,0.075
timestamp,-0.0004340283550043622,cortical_pca_64,grouped_0,6.0,-0.05077895894727488,-0.051212987302279245,arousal__future_spike_1_3s,0.075
video_time,-0.03293272571530753,cortical_pca_64,grouped_0,6.0,-0.018280261586971713,-0.051212987302279245,arousal__future_spike_1_3s,0.075
ar,-0.023575324678744125,cortical_pca_64,grouped_0,8.0,-0.04463451197882873,-0.06820983665757285,arousal__future_spike_1_3s,0.075
shuffled,-0.025548852992617915,cortical_pca_64,grouped_0,8.0,-0.04266098366495494,-0.06820983665757285,arousal__future_spike_1_3s,0.075
random,-0.017070587097671536,cortical_pca_64,grouped_0,8.0,-0.05113924955990132,-0.06820983665757285,arousal__future_spike_1_3s,0.075
timestamp,0.001085378628237016,cortical_pca_64,grouped_0,8.0,-0.06929521528580987,-0.06820983665757285,arousal__future_spike_1_3s,0.075
video_time,-0.02009320733455694,cortical_pca_64,grouped_0,8.0,-0.048116629323015914,-0.06820983665757285,arousal__future_spike_1_3s,0.075
ar,-0.04103597297049999,cortical_pca_64,grouped_0,-8.0,-0.02815966895668265,-0.06919564192718264,arousal__future_change_p3s_movement,0.05
shuffled,-0.036272429588514565,cortical_pca_64,grouped_0,-8.0,-0.03292321233866807,-0.06919564192718264,arousal__future_change_p3s_movement,0.05
random,-0.037497032205895064,cortical_pca_64,grouped_0,-8.0,-0.031698609721287574,-0.06919564192718264,arousal__future_change_p3s_movement,0.05
timestamp,-0.08545589005380932,cortical_pca_64,grouped_0,-8.0,0.016260248126626686,-0.06919564192718264,arousal__future_change_p3s_movement,0.05
video_time,-0.07363993440455957,cortical_pca_64,grouped_0,-8.0,0.004444292477376932,-0.06919564192718264,arousal__future_change_p3s_movement,0.05
ar,-0.02712282279663114,cortical_pca_64,grouped_0,-6.0,-0.014824273745741079,-0.04194709654237222,arousal__future_change_p3s_movement,0.05
shuffled,-0.027647526018002744,cortical_pca_64,grouped_0,-6.0,-0.014299570524369476,-0.04194709654237222,arousal__future_change_p3s_movement,0.05
