target_name,feature_name,pca_width,model_lane,gate_name,status,candidate_grouped_pr_auc,ar_only_grouped_pr_auc,delta_vs_AR_only,beats_required_controls,positive_mean_fold_delta_vs_AR,not_driven_by_one_fold_only,positive_fold_count_vs_AR,fold_count,blocked_temporal_support,blocked_temporal_status
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_2s_slope,192,residualized_AR_plus_PCA_plus_temporal_diagnostics,residualized_temporal_grouped_pass,pass,0.11854304017418867,0.11818805812409112,0.0003549820500975409,true,true,true,3,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_2s_std,192,PCA_only,strict_grouped_pass,fail,0.11127994931647325,0.11818805812409112,-0.0069081088076178715,false,false,false,0,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_2s_std,192,AR_plus_PCA,strict_AR_plus_PCA_grouped_pass,fail,0.11295767134056892,0.11818805812409112,-0.005230386783522209,false,false,false,1,5,false,mixed_or_fail
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_2s_std,192,residualized_AR_plus_PCA,residualized_grouped_pass,fail,0.11265406950058943,0.11818805812409112,-0.005533988623501698,false,false,false,0,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_2s_std,192,AR_plus_PCA_plus_temporal_diagnostics,strict_AR_plus_PCA_temporal_grouped_pass,fail,0.1166523170196156,0.11818805812409112,-0.0015357411044755187,false,false,false,2,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_2s_std,192,residualized_AR_plus_PCA_plus_temporal_diagnostics,residualized_temporal_grouped_pass,fail,0.11617672477120806,0.11818805812409112,-0.00201133335288306,false,false,false,2,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_3s_mean,192,PCA_only,strict_grouped_pass,pass,0.12138104312888451,0.11818805812409112,0.0031929850047933833,true,true,true,4,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_3s_mean,192,AR_plus_PCA,strict_AR_plus_PCA_grouped_pass,pass,0.1222663279372882,0.11818805812409112,0.004078269813197075,true,true,true,4,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_3s_mean,192,residualized_AR_plus_PCA,residualized_grouped_pass,pass,0.12209676157161439,0.11818805812409112,0.003908703447523268,true,true,true,4,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_3s_mean,192,AR_plus_PCA_plus_temporal_diagnostics,strict_AR_plus_PCA_temporal_grouped_pass,pass,0.12294481322379272,0.11818805812409112,0.004756755099701596,true,true,true,4,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_3s_mean,192,residualized_AR_plus_PCA_plus_temporal_diagnostics,residualized_temporal_grouped_pass,pass,0.12276976243097418,0.11818805812409112,0.004581704306883053,true,true,true,4,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_3s_slope,192,PCA_only,strict_grouped_pass,fail,0.11510383220563003,0.11818805812409112,-0.003084225918461095,false,false,false,2,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_3s_slope,192,AR_plus_PCA,strict_AR_plus_PCA_grouped_pass,fail,0.11734210414715165,0.11818805812409112,-0.0008459539769394703,false,false,true,3,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_3s_slope,192,residualized_AR_plus_PCA,residualized_grouped_pass,fail,0.11753932017118833,0.11818805812409112,-0.0006487379529027948,false,false,true,3,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_3s_slope,192,AR_plus_PCA_plus_temporal_diagnostics,strict_AR_plus_PCA_temporal_grouped_pass,pass,0.11979765471255721,0.11818805812409112,0.0016095965884660862,true,true,true,4,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_3s_slope,192,residualized_AR_plus_PCA_plus_temporal_diagnostics,residualized_temporal_grouped_pass,pass,0.11968551988898901,0.11818805812409112,0.0014974617648978866,true,true,true,4,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_3s_std,192,PCA_only,strict_grouped_pass,fail,0.11081033701102858,0.11818805812409112,-0.007377721113062549,false,false,false,0,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_3s_std,192,AR_plus_PCA,strict_AR_plus_PCA_grouped_pass,fail,0.11243153767777037,0.11818805812409112,-0.005756520446320759,false,false,false,0,5,false,mixed_or_fail
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_3s_std,192,residualized_AR_plus_PCA,residualized_grouped_pass,fail,0.11225335830616237,0.11818805812409112,-0.005934699817928754,false,false,false,0,5,false,mixed_or_fail
