candidate,f1,feature_width,head,pr_auc,real_minus_ar_pr_auc,real_minus_random_pr_auc,real_minus_shuffled_pr_auc,real_minus_timestamp_pr_auc,real_minus_video_time_pr_auc,scope,split,target,threshold
cortical_pca_64,0.466152527849186,64,ridge_score,0.4236216173187073,-0.04660754437831066,-0.028939483415626133,-0.03971585879045092,0.0933726697558086,0.08708452358994434,all_videos,grouped_4,arousal__future_change_p3s_movement,0.05
roi_parcel_features,0.46448087431693985,75,ridge_score,0.4229348652348577,0.05242350958285824,0.05622991729922178,0.0541350904726427,0.1573757849915977,0.18449275780268762,all_videos,grouped_0,arousal__future_spike_1_3s,0.05
topk_vertices_512,0.46088193456614507,512,ridge_score,0.42258254264877815,0.05207118699677871,0.12185310196356358,0.0586796396931043,0.15702346240551818,0.18414043521660808,all_videos,grouped_0,arousal__future_spike_1_3s,0.05
pca_sequence_128_causal_past_2s_mean_std_last_slope,0.4290657439446367,512,ridge_score,0.42232117628121624,0.025890743360391655,0.08365862004771196,0.06946604826198971,0.19626806933839178,0.2084152075453976,all_videos,grouped_0,arousal__future_spike_1_3s,0.05
cortical_pca64_delta,0.43683111453002355,,ridge_score,0.4221066313852133,-0.04212355154739249,-0.0018846897835886889,-0.0028063657235957496,0.0912367533873353,0.0824065881423944,all_videos,grouped_video_mean,arousal__future_change_p3s_movement,0.05
pca_current_128,0.4434719183078045,128,ridge_score,0.42170814669896367,-0.012690956469810222,0.01095011426091147,0.00419108673017099,0.07465159472268329,0.06321833259908971,all_videos,grouped_1,arousal__future_change_p3s_movement,0.05
pca_sequence_256_causal_past_2s_mean,0.44174265450861194,256,ridge_score,0.4215650118991864,-0.049998995881508246,-0.0074008836033236935,-0.004111397557977736,0.13113971785592737,0.10083282513343383,all_videos,grouped_0,arousal__future_change_p3s_movement,0.05
topk_vertices_512,0.42069550466497024,512,ridge_score,0.4209640182123209,-0.013853091805625939,0.020195732808049982,0.0029415113851062324,0.07401159121925804,0.06306354921809887,all_videos,grouped_1,arousal__future_change_p3s_movement,0.05
pls_32,0.44684684684684683,32,ridge_score,0.420091973289886,-0.059302201961680234,-0.04645824324757919,-0.05410275073302956,0.09428349623724508,0.06818155599873255,all_videos,grouped_0,arousal__future_change_p3s_movement,0.05
roi_parcel_features,0.4145818441744103,75,ridge_score,0.4200714781477243,0.012678977487658782,0.03056064565018879,0.014739349679859681,0.18639162692460254,0.09417825294205767,all_videos,blocked,arousal__future_change_p3s_movement,0.05
pca_sequence_256_causal_past_2s_mean,0.44701348747591524,256,ridge_score,0.41978951140866033,0.023724142101018753,0.056909349930434006,0.05580885511848538,0.19373640446583587,0.21358647222314608,all_videos,grouped_0,arousal__future_spike_1_3s,0.05
pca_current_256,0.43947048057929444,,ridge_score,0.4197212648630962,-0.04479721060983466,-0.018668947809385696,-0.018126624714402528,0.08893733508576288,0.07840833957806284,all_videos,grouped_video_mean,arousal__future_change_p3s_movement,0.05
topk_vertices_512,0.431055900621118,512,ridge_score,0.4196523103077465,0.01225980964768103,0.058843697057907984,0.019640015610934036,0.18597245908462479,0.09375908510207992,all_videos,blocked,arousal__future_change_p3s_movement,0.05
raw_current_ridge,0.4495114006514658,20484,ridge_score,0.4188855197882211,0.04714271023284111,0.22410436621839153,0.07652034909024563,0.17715892487271734,0.18182952636411,all_videos,grouped_0,arousal__future_spike_1_3s,0.05
pca_current_128,0.45980707395498394,128,ridge_score,0.41830747755679926,0.047796121904799815,0.0665164488461722,0.06283546757191327,0.15274839731353929,0.1798653701246292,all_videos,grouped_0,arousal__future_spike_1_3s,0.05
